,Year,State,Age Group,Fertility rate
0,2016,Negeri Sembilan,15 - 19,7
1,2016,Negeri Sembilan,20 - 24,42
2,2016,Negeri Sembilan,25 - 29,130
3,2016,Negeri Sembilan,30 - 34,152
4,2016,Negeri Sembilan,35 - 39,84
5,2016,Negeri Sembilan,40 - 44,19
6,2016,Negeri Sembilan,45 - 49,1
7,2016,Negeri Sembilan,Total,2175
8,2015,Negeri Sembilan,15 - 19,9
9,2015,Negeri Sembilan,20 - 24,43
10,2015,Negeri Sembilan,25 - 29,140
11,2015,Negeri Sembilan,30 - 34,158
12,2015,Negeri Sembilan,35 - 39,82
13,2015,Negeri Sembilan,40 - 44,18
14,2015,Negeri Sembilan,45 - 49,1
15,2015,Negeri Sembilan,Total,2253
16,2014,Negeri Sembilan,15 - 19,9
17,2014,Negeri Sembilan,20 - 24,46
18,2014,Negeri Sembilan,25 - 29,145
19,2014,Negeri Sembilan,30 - 34,162
20,2014,Negeri Sembilan,35 - 39,80
21,2014,Negeri Sembilan,40 - 44,19
22,2014,Negeri Sembilan,45 - 49,1
23,2014,Negeri Sembilan,Total,2313
24,2013,Negeri Sembilan,15 - 19,10
25,2013,Negeri Sembilan,20 - 24,45
26,2013,Negeri Sembilan,25 - 29,146
27,2013,Negeri Sembilan,30 - 34,148
28,2013,Negeri Sembilan,35 - 39,73
29,2013,Negeri Sembilan,40 - 44,17
30,2013,Negeri Sembilan,45 - 49,1
31,2013,Negeri Sembilan,Total,2200
32,2012,Negeri Sembilan,15 - 19,10
33,2012,Negeri Sembilan,20 - 24,49
34,2012,Negeri Sembilan,25 - 29,151
35,2012,Negeri Sembilan,30 - 34,155
36,2012,Negeri Sembilan,35 - 39,75
37,2012,Negeri Sembilan,40 - 44,18
38,2012,Negeri Sembilan,45 - 49,1
39,2012,Negeri Sembilan,Total,2294
40,2011,Negeri Sembilan,15 - 19,10
41,2011,Negeri Sembilan,20 - 24,52
42,2011,Negeri Sembilan,25 - 29,158
43,2011,Negeri Sembilan,30 - 34,151
44,2011,Negeri Sembilan,35 - 39,71
45,2011,Negeri Sembilan,40 - 44,16
46,2011,Negeri Sembilan,45 - 49,1
47,2011,Negeri Sembilan,Total,2296
48,2010,Negeri Sembilan,15 - 19,11
49,2010,Negeri Sembilan,20 - 24,56
50,2010,Negeri Sembilan,25 - 29,158
51,2010,Negeri Sembilan,30 - 34,141
52,2010,Negeri Sembilan,35 - 39,69
53,2010,Negeri Sembilan,40 - 44,17
54,2010,Negeri Sembilan,45 - 49,1
55,2010,Negeri Sembilan,Total,2267
56,2009,Negeri Sembilan,15 - 19,10
57,2009,Negeri Sembilan,20 - 24,60
58,2009,Negeri Sembilan,25 - 29,167
59,2009,Negeri Sembilan,30 - 34,149
60,2009,Negeri Sembilan,35 - 39,71
61,2009,Negeri Sembilan,40 - 44,18
62,2009,Negeri Sembilan,45 - 49,1
63,2009,Negeri Sembilan,Total,2377
64,2008,Negeri Sembilan,15 - 19,10
65,2008,Negeri Sembilan,20 - 24,67
66,2008,Negeri Sembilan,25 - 29,168
67,2008,Negeri Sembilan,30 - 34,146
68,2008,Negeri Sembilan,35 - 39,71
69,2008,Negeri Sembilan,40 - 44,20
70,2008,Negeri Sembilan,45 - 49,1
71,2008,Negeri Sembilan,Total,2416
72,2007,Negeri Sembilan,15 - 19,10
73,2007,Negeri Sembilan,20 - 24,67
74,2007,Negeri Sembilan,25 - 29,170
75,2007,Negeri Sembilan,30 - 34,148
76,2007,Negeri Sembilan,35 - 39,73
77,2007,Negeri Sembilan,40 - 44,18
78,2007,Negeri Sembilan,45 - 49,1
79,2007,Negeri Sembilan,Total,2445
80,2006,Negeri Sembilan,15 - 19,10
81,2006,Negeri Sembilan,20 - 24,68
82,2006,Negeri Sembilan,25 - 29,166
83,2006,Negeri Sembilan,30 - 34,142
84,2006,Negeri Sembilan,35 - 39,74
85,2006,Negeri Sembilan,40 - 44,20
86,2006,Negeri Sembilan,45 - 49,1
87,2006,Negeri Sembilan,Total,2411
88,2005,Negeri Sembilan,15 - 19,11
89,2005,Negeri Sembilan,20 - 24,73
90,2005,Negeri Sembilan,25 - 29,173
91,2005,Negeri Sembilan,30 - 34,146
92,2005,Negeri Sembilan,35 - 39,73
93,2005,Negeri Sembilan,40 - 44,21
94,2005,Negeri Sembilan,45 - 49,1
95,2005,Negeri Sembilan,Total,2487
96,2004,Negeri Sembilan,15 - 19,11
97,2004,Negeri Sembilan,20 - 24,74
98,2004,Negeri Sembilan,25 - 29,178
99,2004,Negeri Sembilan,30 - 34,151
100,2004,Negeri Sembilan,35 - 39,77
101,2004,Negeri Sembilan,40 - 44,23
102,2004,Negeri Sembilan,45 - 49,1
103,2004,Negeri Sembilan,Total,2576
104,2003,Negeri Sembilan,15 - 19,10
105,2003,Negeri Sembilan,20 - 24,81
106,2003,Negeri Sembilan,25 - 29,183
107,2003,Negeri Sembilan,30 - 34,151
108,2003,Negeri Sembilan,35 - 39,81
109,2003,Negeri Sembilan,40 - 44,23
110,2003,Negeri Sembilan,45 - 49,2
111,2003,Negeri Sembilan,Total,2650
112,2002,Negeri Sembilan,15 - 19,11
