Year,State,Sex,Live_births
2012,Johor,Male,31214
2012,Johor,Female,29230
2012,Johor,Total,60444
2012,Kedah,Male,18937
2012,Kedah,Female,17453
2012,Kedah,Total,36390
2012,Kelantan,Male,19328
2012,Kelantan,Female,17697
2012,Kelantan,Total,37025
2012,Melaka,Male,7233
2012,Melaka,Female,7045
2012,Melaka,Total,14278
2012,Negeri Sembilan,Male,9219
2012,Negeri Sembilan,Female,8684
2012,Negeri Sembilan,Total,17903
2012,Pahang,Male,13955
2012,Pahang,Female,13456
2012,Pahang,Total,27411
2012,Perak,Male,19402
2012,Perak,Female,18310
2012,Perak,Total,37712
2012,Perlis,Male,2130
2012,Perlis,Female,2013
2012,Perlis,Total,4143
2012,Pulau Pinang,Male,12138
2012,Pulau Pinang,Female,11656
2012,Pulau Pinang,Total,23794
2012,Sabah,Male,0
2012,Sabah,Female,0
2012,Sabah,Total,0
2012,Sarawak,Male,22517
2012,Sarawak,Female,20661
2012,Sarawak,Total,43178
2012,Selangor,Male,56078
2012,Selangor,Female,51868
2012,Selangor,Total,107946
2012,Terengganu,Male,13230
2012,Terengganu,Female,12468
2012,Terengganu,Total,25698
2012,Wilayah Persekutuan Kuala Lumpur,Male,14012
2012,Wilayah Persekutuan Kuala Lumpur,Female,12970
2012,Wilayah Persekutuan Kuala Lumpur,Total,26982
2012,Wilayah Persekutuan Labuan,Male,934
2012,Wilayah Persekutuan Labuan,Female,839
2012,Wilayah Persekutuan Labuan,Total,1773
2012,Wilayah Persekutuan Putrajaya,Male,1600
2012,Wilayah Persekutuan Putrajaya,Female,1550
2012,Wilayah Persekutuan Putrajaya,Total,3150
2013,Johor,Male,29672
2013,Johor,Female,27730
2013,Johor,Total,57402
2013,Kedah,Male,18049
2013,Kedah,Female,16983
2013,Kedah,Total,35032
2013,Kelantan,Male,18853
2013,Kelantan,Female,17560
2013,Kelantan,Total,36413
2013,Melaka,Male,7102
2013,Melaka,Female,6590
2013,Melaka,Total,13692
2013,Negeri Sembilan,Male,9126
2013,Negeri Sembilan,Female,8383
2013,Negeri Sembilan,Total,17509
2013,Pahang,Male,13996
2013,Pahang,Female,12972
2013,Pahang,Total,26968
2013,Perak,Male,18294
2013,Perak,Female,17133
2013,Perak,Total,35427
2013,Perlis,Male,2108
2013,Perlis,Female,1942
2013,Perlis,Total,4050
2013,Pulau Pinang,Male,11020
2013,Pulau Pinang,Female,10479
2013,Pulau Pinang,Total,21499
2013,Sabah,Male,0
2013,Sabah,Female,0
2013,Sabah,Total,0
2013,Sarawak,Male,21027
2013,Sarawak,Female,19386
2013,Sarawak,Total,40413
2013,Selangor,Male,53282
2013,Selangor,Female,49891
2013,Selangor,Total,103173
2013,Terengganu,Male,13026
2013,Terengganu,Female,12439
2013,Terengganu,Total,25465
2013,Wilayah Persekutuan Kuala Lumpur,Male,13044
2013,Wilayah Persekutuan Kuala Lumpur,Female,12289
2013,Wilayah Persekutuan Kuala Lumpur,Total,25333
2013,Wilayah Persekutuan Labuan,Male,944
2013,Wilayah Persekutuan Labuan,Female,799
2013,Wilayah Persekutuan Labuan,Total,1743
2013,Wilayah Persekutuan Putrajaya,Male,1518
2013,Wilayah Persekutuan Putrajaya,Female,1454
2013,Wilayah Persekutuan Putrajaya,Total,2972
2015,Johor,Male,31307
2015,Johor,Female,29236
2015,Johor,Total,60543
2015,Kedah,Male,18832
2015,Kedah,Female,17952
2015,Kedah,Total,36784
2015,Kelantan,Male,19984
2015,Kelantan,Female,19124
2015,Kelantan,Total,39108
2015,Melaka,Male,7460
2015,Melaka,Female,7094
2015,Melaka,Total,14554
2015,Negeri Sembilan,Male,9605
2015,Negeri Sembilan,Female,8818
2015,Negeri Sembilan,Total,18423
2015,Pahang,Male,14370
2015,Pahang,Female,13689
2015,Pahang,Toal,28059
2015,Perak,Male,18855
2015,Perak,Female,17429
2015,Perak,Total,36284
2015,Perlis,Male,2239
2015,Perlis,Female,2076
2015,Perlis,Total,4315
2015,Pulau Pinang,Male,11529
2015,Pulau Pinang,Female,10713
2015,Pulau Pinang,Total,22242
2015,Sabah,Male,28451
2015,Sabah,Female,26248
2015,Sabah,Total,54699
